city,temperature,female%
Aberdeen_US,294.75333333333333,
Abilene_US,300.4,80.0
Adelphi_US,292.18,40.0
Affton_US,293.26,
Akron_US,286.685,
Alachua County_US,296.01,
Alafaya_US,298.5725,
Alameda County_US,292.05,
Albany_US,288.56,25.0
Albuquerque_US,295.63,
Alexandria_US,300.08,100.0
Altoona_US,287.45,
Americus_US,296.91,40.0
Anchorage_US,285.19,40.0
Anderson County_US,293.28,100.0
Anne Arundel County_US,292.24,100.0
Arlington_US,297.08,40.0
Ashe County_US,286.52,
Asheville_US,287.61,33.333333333333336
Ashford_US,297.69,
Atascadero_US,292.29,
Athens County_US,289.23,100.0
Atlanta_US,293.9066666666667,66.66666666666667
Auburn_US,294.6181818181818,54.54545454545455
Augusta County_US,290.72,
Augusta_US,295.85400000000004,35.0
Aurora_US,288.96351351351353,35.13513513513514
Austin_US,302.4785714285714,42.857142857142854
Autauga County_US,294.42,
Azusa_US,301.74,75.0
Balch Springs_US,300.6,100.0
Baldwin_US,286.95,
Baltimore County_US,290.0141176470588,58.8235294117647
Baltimore_US,291.8425,31.25
Baton Rouge_US,299.78222222222223,50.0
Bay County_US,298.78,
Beaumont_US,299.04,75.0
Bedford County_US,291.55,28.571428571428573
Bedford_US,302.09,100.0
Bell County_US,302.66,50.0
Bellbrook_US,287.92,
Bellevue_US,291.65,
Beltrami County_US,283.17,100.0
Beltsville_US,291.99,25.0
Berkeley County_US,295.49,80.0
Berkeley_US,286.92,40.0
Bernice_US,297.27,100.0
Berwyn_US,287.25,100.0
Bessemer_US,294.9,
Beverly Hills_US,300.89,100.0
Bexar County_US,302.33000000000004,50.0
Big Rapids_US,285.65,35.714285714285715
Biloxi_US,298.27,
Binghamton_US,285.69,100.0
Blaine_US,287.69,
Bloomington_US,288.54,33.333333333333336
Bluefield_US,286.83,100.0
Boise_US,295.00999999999993,85.71428571428571
Bolivar_US,293.5,
Bonne Terre_US,288.84,
Boron_US,307.8,
Botetourt County_US,291.18,100.0
Bowie County_US,296.72,58.8235294117647
Box Elder_US,288.97,50.0
Bradenton_US,299.6,
Brandon_US,300.06,100.0
Brawley_US,307.6,
Brier_US,292.37,66.66666666666667
Brighton Township_US,287.0,
Bristol Township_US,289.41,
Bristol_US,285.89,55.55555555555556
Broken Arrow_US,296.56,
Bronson_US,295.59,28.571428571428573
Brooke County_US,287.01,50.0
Brooklyn Center_US,288.2,100.0
Broward County_US,301.3433333333333,
Brule County_US,288.36,
Brunswick County_US,298.22,43.75
Bryan_US,298.83,14.285714285714286
Bucyrus_US,287.08,66.66666666666667
Buffalo_US,287.16249999999997,50.0
Burbank_US,302.01,100.0
Burgaw_US,297.16,
Burleson_US,300.33,
Butler County_US,286.87,100.0
Cabell County_US,289.09,
Calcasieu Parish_US,299.83,100.0
Camarillo_US,296.32,
Cambridge_US,294.41,50.0
Campbell County_US,288.23,
Campbellsville_US,288.99,
Canton_US,293.28,
Cape Girardeau_US,290.85,100.0
Carlsbad_US,296.82,33.333333333333336
Carmel_US,289.33,16.666666666666668
Carol Stream_US,286.53,50.0
Carpentersville_US,285.53,42.857142857142854
Carrollton_US,301.67,26.666666666666668
Carson City_US,297.22,
Cartersville_US,293.18,
Carthage_US,290.69,66.66666666666667
Cary_US,293.38,
Cascades_US,291.69,55.55555555555556
Cass County_US,290.36,100.0
Catawba County_US,291.2766666666667,66.66666666666667
Celina_US,301.9,60.0
Center Township_US,287.03,50.0
Central City_US,289.42,100.0
Champaign_US,288.72,100.0
Chandler_US,307.75,25.0
Chapel Hill_US,293.31,
Chapmanville_US,289.33,
Charles County_US,293.14,66.66666666666667
Charleston County_US,297.19,20.0
Charlotte Park_US,298.35,100.0
Charlotte_US,292.32,33.333333333333336
Chatham County_US,298.27,
Cheney_US,293.51,
Chenoa_US,288.77,30.76923076923077
Cherokee County_US,291.38,56.25
Chesapeake_US,293.69,
Chester_US,293.3,66.66666666666667
Chesterfield County_US,290.56,100.0
Chesterfield Township_US,286.15,14.285714285714286
Cheyenne_US,287.72,50.0
Chicago_US,286.9940384615385,51.92307692307692
Chickasha_US,295.11,85.71428571428571
Chillicothe_US,287.34,40.0
Chino Hills_US,301.36,25.0
Chula Vista_US,298.4509090909091,36.36363636363637
Cicero_US,287.28,100.0
Cincinnati_US,288.98249999999996,25.0
Citrus County_US,297.94,
City of Gainesville Municipal Boundaries_US,295.82,100.0
City of Rome_US,286.52,
Clarksburg_US,289.61,
Clawson_US,285.86,
Clayton County_US,293.32,25.0
Clermont_US,299.42,20.0
Cleveland_US,287.12833333333333,25.0
Clinton Township_US,288.11249999999995,25.0
Clinton_US,297.12,38.46153846153846
Cloquet_US,283.15,33.333333333333336
Clovis_US,294.23,100.0
Cobb County_US,293.1,66.66666666666667
Cohasset_US,282.67,28.571428571428573
Collins_US,296.18,50.0
Columbia County_US,295.72,35.294117647058826
Columbia_US,288.28,61.53846153846154
Columbus_US,291.056,60.0
Comal County_US,301.48,
Commerce City_US,291.05,
Conroe_US,300.79,100.0
Converse_US,302.33,43.75
Conway County_US,291.65,
Coon Rapids_US,287.79,
Coral Springs_US,301.3194736842105,36.8421052631579
Corvallis_US,298.29,100.0
Coryell County_US,301.62428571428575,52.38095238095238
Covington County_US,298.05,100.0
Crown Point_US,287.21,
Culver City_US,299.4,
Cumberland County_US,288.65,
Cupertino_US,294.1,100.0
Dallas_US,297.47805555555556,47.22222222222222
Danville_US,291.20000000000005,
Dauphin County_US,287.75,
Davenport_US,288.79,42.857142857142854
Dayton_US,292.34,100.0
DeKalb County_US,292.2866666666667,66.66666666666667
Decatur County_US,287.08,
Decatur_US,301.06,
Deer Park_US,294.62,
Delaware County_US,291.79,
Deltona_US,298.02,66.66666666666667
Derby_US,292.66,100.0
Des Moines_US,289.62,
Des Plaines_US,286.39,
Detroit_US,285.7724242424242,48.484848484848484
Dexter_US,293.77,100.0
Dickinson County_US,286.87,100.0
Dothan_US,297.42,
Douglas County_US,297.66,
Dubuque_US,290.15,100.0
Duluth_US,293.95,50.0
Duplin County_US,296.56,16.666666666666668
Durham_US,293.27,66.66666666666667
East Aurora_US,286.48,
East Saint Louis_US,292.82,27.272727272727273
Eden_US,291.34,
Edgerton_US,285.48,100.0
Edinburg_US,300.61,100.0
Edwardsville_US,291.07,71.42857142857143
El Cajon_US,298.51,33.333333333333336
El Dorado County_US,301.0,60.0
El Monte_US,299.52,
El Paso_US,299.55,100.0
Elizabethton_US,287.12,
Elk Grove_US,305.065,50.0
Enterprise_US,296.0,
Erie_US,286.82,
Escambia County_US,299.24833333333333,50.0
Estill County_US,289.91,100.0
Euless_US,302.14,50.0
Eureka_US,290.36,50.0
Evansville_US,291.62,
Fairbanks_US,283.41,40.0
Fairfield_US,296.05,
Fairmont_US,285.89,
Farmers Branch_US,302.08,66.66666666666667
Farmington_US,287.48,62.5
Fayette County_US,292.97,43.75
Ferndale_US,285.96,100.0
Flint Township_US,284.74,66.66666666666667
Flint_US,284.33,
Flora_US,299.47,50.0
Florence County_US,296.955,50.0
Florence_US,299.2627777777777,50.0
Flower Mound_US,302.19,50.0
Flushing_US,284.35,100.0
Fontana_US,302.64,42.857142857142854
Forney_US,300.37,50.0
Fort Bend County_US,302.0325,
Fort Lauderdale_US,301.41,
Fort Smith_US,294.38,
Fort Worth_US,301.18555555555554,48.148148148148145
Franklin County_US,289.7,46.15384615384615
Franklin_US,290.02,100.0
Fresno County_US,305.36,
Fresno_US,305.78,100.0
Gadsden_US,293.49,
Gaffney_US,292.26,
Gaines Township_US,284.3,
Garden Township_US,284.61,30.0
Garrard County_US,291.22,
Garrett_US,286.68,
Gary_US,287.32,25.0
Germantown_US,288.11,100.0
Gilbert_US,307.39,
Gladewater_US,299.44,
Gloucester County_US,292.9,50.0
Goddard_US,291.88,
Grafton_US,285.7266666666667,33.333333333333336
Grand Island_US,290.46,40.0
Grand Prairie_US,300.33,33.333333333333336
