,total_users,female%,male%,non_binary%,blank%,city
Aberdeen_US,3,,100.0,,,Aberdeen_US
Abilene_US,5,80.0,20.0,,,Abilene_US
Adelphi_US,5,40.0,40.0,20.0,,Adelphi_US
Affton_US,1,,,100.0,,Affton_US
Akron_US,2,,100.0,,,Akron_US
Alachua County_US,1,,100.0,,,Alachua County_US
Alafaya_US,4,,50.0,25.0,25.0,Alafaya_US
Alameda County_US,1,,,100.0,,Alameda County_US
Albany_US,4,25.0,,75.0,,Albany_US
Albuquerque_US,1,,,,100.0,Albuquerque_US
Alexandria_US,1,100.0,,,,Alexandria_US
Altoona_US,1,,100.0,,,Altoona_US
Americus_US,10,40.0,40.0,20.0,,Americus_US
Anchorage_US,10,40.0,40.0,20.0,,Anchorage_US
Anderson County_US,1,100.0,,,,Anderson County_US
Anne Arundel County_US,1,100.0,,,,Anne Arundel County_US
Arlington_US,15,40.0,60.0,,,Arlington_US
Ashe County_US,1,,,100.0,,Ashe County_US
Asheville_US,3,33.333333333333336,66.66666666666667,,,Asheville_US
Ashford_US,1,,100.0,,,Ashford_US
Atascadero_US,1,,100.0,,,Atascadero_US
Athens County_US,1,100.0,,,,Athens County_US
Atlanta_US,3,66.66666666666667,33.333333333333336,,,Atlanta_US
Auburn_US,11,54.54545454545455,27.272727272727273,,18.181818181818183,Auburn_US
Augusta County_US,4,,100.0,,,Augusta County_US
Augusta_US,20,35.0,50.0,15.0,,Augusta_US
Aurora_US,37,35.13513513513514,35.13513513513514,21.62162162162162,8.108108108108109,Aurora_US
Austin_US,7,42.857142857142854,57.142857142857146,,,Austin_US
Autauga County_US,1,,100.0,,,Autauga County_US
Azusa_US,4,75.0,25.0,,,Azusa_US
Balch Springs_US,1,100.0,,,,Balch Springs_US
Baldwin_US,2,,100.0,,,Baldwin_US
Baltimore County_US,17,58.8235294117647,41.1764705882353,,,Baltimore County_US
Baltimore_US,16,31.25,50.0,18.75,,Baltimore_US
Baton Rouge_US,18,50.0,50.0,,,Baton Rouge_US
Bay County_US,1,,,100.0,,Bay County_US
Beaumont_US,4,75.0,25.0,,,Beaumont_US
Bedford County_US,7,28.571428571428573,42.857142857142854,28.571428571428573,,Bedford County_US
Bedford_US,1,100.0,,,,Bedford_US
Bell County_US,2,50.0,50.0,,,Bell County_US
